source,target,weight
7897,8108,2
7897,8109,2
7897,8119,2
7897,8134,2
7897,8138,2
7897,8156,2
7897,8157,2
7897,8168,2
7897,8169,2
7897,8170,2
7897,8189,2
7897,8196,2
7897,8198,2
7897,8215,2
7897,8218,2
7897,8229,2
7897,8248,2
7897,8281,2
7897,8294,2
7897,8301,2
7904,8004,2
7904,8021,2
7904,8022,2
7904,8023,2
7904,8032,2
7904,8033,2
7904,8041,2
7904,8045,2
7904,8047,2
7904,8055,2
7904,8059,2
7904,8064,2
7904,8065,2
7904,8067,2
7904,8081,2
7904,8088,2
7904,8095,2
7904,8118,2
7904,8120,2
7904,8123,2
7904,8139,2
7904,8141,2
7904,8143,2
7904,8151,2
7904,8164,2
7904,8167,2
7904,8172,2
7904,8181,2
7904,8183,2
7904,8186,2
7904,8187,2
7904,8202,2
7904,8205,2
7904,8215,2
7904,8221,2
7904,8226,2
7904,8244,2
7904,8245,2
7904,8252,2
7904,8253,2
7904,8257,2
7904,8259,2
7904,8267,2
7904,8271,2
7904,8272,2
7904,8276,2
7904,8277,2
7904,8280,2
7904,8281,2
7904,8287,2
7904,8288,2
7904,8290,2
7904,8304,2
7905,7990,2
7905,7999,2
7905,8000,2
7905,8015,2
7905,8028,2
7905,8040,2
7905,8043,2
7905,8048,2
7905,8079,2
7905,8081,2
7905,8097,2
7905,8098,2
7905,8103,2
7905,8108,2
7905,8109,2
7905,8134,2
7905,8138,2
7905,8140,2
7905,8144,2
7905,8167,2
7905,8168,2
7905,8179,2
7905,8189,2
7905,8197,2
7905,8226,2
7905,8233,2
7905,8249,2
7905,8256,2
7905,8290,2
7905,8293,2
7905,8295,2
7905,8299,2
7905,8302,2
7905,8303,2
7906,7986,2
7906,8000,2
7906,8048,2
7906,8051,2
7906,8061,2
7906,8075,2
7906,8109,2
7906,8122,2
7906,8126,2
7906,8128,2
7906,8137,2
7906,8143,2
7906,8144,2
7906,8215,2
7906,8226,2
7906,8234,2
7906,8237,2
7906,8239,2
7906,8240,2
7906,8242,2
7906,8245,2
7906,8253,2
7906,8255,2
7906,8262,2
7906,8278,2
7906,8286,2
7906,8289,2
7906,8304,2
7907,7984,2
7907,7988,2
7907,7998,2
7907,8000,2
7907,8043,2
7907,8051,2
7907,8054,2
7907,8062,2
7907,8081,2
7907,8109,2
7907,8134,2
7907,8136,2
7907,8138,2
7907,8140,2
7907,8167,2
7907,8177,2
7907,8179,2
7907,8187,2
7907,8194,2
7907,8195,2
7907,8197,2
7907,8226,2
7907,8231,2
7907,8234,2
7907,8241,2
7909,7987,2
7909,8000,2
7909,8019,2
7909,8027,2
7909,8030,2
7909,8043,2
7909,8048,2
7909,8057,2
7909,8109,2
